1;ZHANG;2236471;Quito;Ecuador;jabej75688@irahada.com
2;GILAUCO S.A.;47876289;Medellin;Colombia;jabej754588@irahada.com
3;LINKOTEL S.A.;17575758;Bogota;Colombia;jabej75@irahada.com
4;PUNTONET S.A;40908080;Guayaquil;Ecuador;jabej756@irahada.com
5;SERTECPET S.A.;18669696;Bogota;Colombia;jabej78@irahada.com
6;DINADEC S.A;49979798;Medellin;Colombia;jabej8@irahada.com
7;AEKIA S.A;18686862;Bogota;Colombia;jabej788@irahada.com
8;IPAC S.A;19879797;Bogota;Colombia;jabej7@irahada.com
9;SERTECPET S.A;66478654;Tijuana;Mexico;jabej6@irahada.com
10;EXPLOCEN S.A;2273819;Quito;Ecuador;jabej5@irahada.com
